Belgien 1918              Ga
KLEKs MTB 1920            Gb
KLEKs MTB 1880            Gc
Austriece 1910            Gd
Berlin 1860               Ge
Siebenbürgen 1862         Gf
PLZ-Grenzen               Gg
Höhenlinien               Gh
Spandau 1938              Gi
Dresden 1833              Gj
Moskau 1836               Gk
NLS Maps API              Gl
Zeichnen                  Gm
planuri_tragere_20k       Gn
Deutsches Reich 1893      Go
German Maps 1936          Gp
Newport 1845              Gq
Umgebung von Wien 1941    Gr
Schummerung               Gs
Belgrad1940               Gt
Budapest 1933             Gu
Verwaltungsgrenzen        Gv
Schwarzwald(Nord) 1920    Gw
Helsinki_1900             Gx
Lyon_1888                 Gy
Postleitzahlen            Gz


Tartu_1892                Ma
Umeå 1937                 Mb
Zuerich_1910              Mc
Zuerich_1504              Md
Lindau_1822               Me
Cherbourg_1943            Mf
Markgröningen_1751        Mg
Urmesstisch_Berlin_1835-1840 Mh
Topografische kaart Vandermaelen (1846-1854) Mi
Atlas cadastral parcellaire de la Belgique, P.C. Popp, 1842-1879  Mj
Atlas der Buurtwegen (ca 1840), Vlaanderen  Mk
Frickx-kaart (1744), Vlaanderen             Ml
Ferrariskaart (1777), Vlaanderen            Mm
Duebener-Heide-1895                         Mn
Duebener-Heide_Flurnamen_1800               Mo
Berlin 1907                                 Mp
Preußische Kartenaufnahme Rheinland (1843-1878)   Mq
Top. Aufnahme der Pfalz (1836-1841)               Mr
Rheinland 1803-1820                               Ms
USA 1900                                          Mt
Sachsen vor 1945                                  Mu
Sachsen DDR                                       Mv
Sachsen 1990-1996                                 Mw
Berlin 1940                                       Mx
Freiburg 1944                                     My
Zürich Denkmalschutzobjekte                       Mz
Zürich Archäologische Zonen                       Na
Wien 1912                                         Nb
Rostock 1911                                      Nc
Kliverkarte                                       Nd
Denkmal-Hamburg                                   Ne
Grenzsteine-Hamburg                               Nf
Gartendenkmal-Hamburg                             Ng
Baudenkmal-Hamburg                                Nh
Denkmal-Ensemble-Hamburg                          Ni
Baudenkmal Berlin                                 Nj
Bodendenkmale Berlin                              Nk
Denkmal-Ensemble Berlin                           Nl
Gartendenkmal Berlin                              Nm
Gesamtanlage Berlin                               No
Gewässer Hamburg                                  Np
Moers Denkmal-Flächen                             Nq
Moers Denkmal-Punkte                              Nr
Moers Denkmal-Linien                              Ns
